U-Nr;Kl,Le;Wst;Lehrer;Fach;Klasse(n);Studenten;Stud. Kurs;Schülergruppe
6;;3;;D;5D;0;;D_5D
242;1, 2;1;;D1;5D;0;;D1_5D
240;1, 2;1;;D2;5D;0;;D2_5D
16;;3;;E;5D;0;;E_5D
;;0;;E1;5D;0;;E1_5D
;;0;;E2;5D;0;;E2_5D
19;;3;;M;5D;0;;M_5D
;;0;;M1;5D;0;;M1_5D
;;0;;M2;5D;0;;M2_5D
188;1, 2;1;;KL;5D;0;;KL_5D
27;;2;;GL;5D;0;;GL_5D
37;;1;;BK;5D;0;;BK_5D
33;;2;;Mu;5D;0;;Mu_5D
255;;4;;NW;5D;0;;NW_5D
47;;2;;OL;5D;0;;OL_5D
253;;3;;SpoS;5D;0;;SpoS_5D
548;2, 3;2;;RelEv;5D,5B;0;;RelEv_5B5D
;;0;;RelRk;5D,5B;0;;RelRk_5B5D
;;0;;Eth;5D,5B;0;;Eth_5B5D
